v1	V(out)
Step Information: Rl=6  (Run: 1/5)
9.000000000000000e+000	6.510764e+000
9.100000000000000e+000	6.597216e+000
9.199999999999999e+000	6.684065e+000
9.299999999999999e+000	6.770770e+000
9.399999999999999e+000	6.857514e+000
9.499999999999998e+000	6.944293e+000
9.599999999999998e+000	7.031107e+000
9.699999999999998e+000	7.117955e+000
9.799999999999997e+000	7.204835e+000
9.899999999999997e+000	7.291747e+000
9.999999999999996e+000	7.378688e+000
1.010000000000000e+001	7.465658e+000
1.020000000000000e+001	7.552656e+000
1.030000000000000e+001	7.639679e+000
1.040000000000000e+001	7.726727e+000
1.050000000000000e+001	7.813797e+000
1.059999999999999e+001	7.900888e+000
1.069999999999999e+001	7.987998e+000
1.079999999999999e+001	8.075123e+000
1.089999999999999e+001	8.162262e+000
1.099999999999999e+001	8.249411e+000
1.109999999999999e+001	8.336565e+000
1.119999999999999e+001	8.423721e+000
1.129999999999999e+001	8.510874e+000
1.139999999999999e+001	8.598018e+000
1.149999999999999e+001	8.685143e+000
1.159999999999999e+001	8.772245e+000
1.169999999999999e+001	8.859312e+000
1.179999999999999e+001	8.946329e+000
1.189999999999999e+001	8.996959e+000
1.199999999999999e+001	8.997220e+000
1.209999999999999e+001	8.997464e+000
1.219999999999999e+001	8.997701e+000
1.229999999999999e+001	8.997932e+000
1.239999999999999e+001	8.998159e+000
1.249999999999999e+001	8.998381e+000
1.259999999999999e+001	8.998598e+000
1.269999999999999e+001	8.998811e+000
1.279999999999999e+001	8.999019e+000
1.289999999999999e+001	8.999223e+000
1.300000000000000e+001	8.999424e+000
Step Information: Rl=10  (Run: 2/5)
9.000000000000000e+000	6.829553e+000
9.100000000000000e+000	6.920036e+000
9.199999999999999e+000	7.010720e+000
9.299999999999999e+000	7.101364e+000
9.399999999999999e+000	7.192047e+000
9.499999999999998e+000	7.282770e+000
9.599999999999998e+000	7.373530e+000
9.699999999999998e+000	7.464328e+000
9.799999999999997e+000	7.555161e+000
9.899999999999997e+000	7.646030e+000
9.999999999999996e+000	7.736933e+000
1.010000000000000e+001	7.827870e+000
1.020000000000000e+001	7.918839e+000
1.030000000000000e+001	8.009840e+000
1.040000000000000e+001	8.100873e+000
1.050000000000000e+001	8.191936e+000
1.059999999999999e+001	8.283029e+000
1.069999999999999e+001	8.374150e+000
1.079999999999999e+001	8.465301e+000
1.089999999999999e+001	8.556479e+000
1.099999999999999e+001	8.647684e+000
1.109999999999999e+001	8.738915e+000
1.119999999999999e+001	8.830173e+000
1.129999999999999e+001	8.921454e+000
1.139999999999999e+001	8.995609e+000
1.149999999999999e+001	8.995909e+000
1.159999999999999e+001	8.996189e+000
1.169999999999999e+001	8.996458e+000
1.179999999999999e+001	8.996719e+000
1.189999999999999e+001	8.996975e+000
1.199999999999999e+001	8.997223e+000
1.209999999999999e+001	8.997466e+000
1.219999999999999e+001	8.997703e+000
1.229999999999999e+001	8.997934e+000
1.239999999999999e+001	8.998161e+000
1.249999999999999e+001	8.998383e+000
1.259999999999999e+001	8.998600e+000
1.269999999999999e+001	8.998813e+000
1.279999999999999e+001	8.999021e+000
1.289999999999999e+001	8.999225e+000
1.300000000000000e+001	8.999426e+000
