rl;V(out);I(R1)
1.000000000000000e-003;1.110758e-003;1.110758e+000
1.047128548050900e-003;1.163110e-003;1.110761e+000
1.096478196143185e-003;1.217929e-003;1.110765e+000
1.148153621496883e-003;1.275333e-003;1.110768e+000
1.202264434617413e-003;1.335442e-003;1.110772e+000
1.258925411794168e-003;1.398384e-003;1.110776e+000
1.318256738556408e-003;1.464294e-003;1.110780e+000
1.380384264602886e-003;1.533310e-003;1.110785e+000
1.445439770745928e-003;1.605579e-003;1.110789e+000
1.513561248436209e-003;1.681255e-003;1.110794e+000
1.584893192461115e-003;1.760498e-003;1.110799e+000
1.659586907437562e-003;1.843477e-003;1.110804e+000
1.737800828749377e-003;1.930367e-003;1.110810e+000
1.819700858609985e-003;2.021352e-003;1.110816e+000
1.905460717963249e-003;2.116627e-003;1.110822e+000
1.995262314968882e-003;2.216394e-003;1.110828e+000
2.089296130854042e-003;2.320863e-003;1.110835e+000
2.187761623949556e-003;2.430257e-003;1.110842e+000
2.290867652767776e-003;2.544808e-003;1.110849e+000
2.398832919019494e-003;2.664760e-003;1.110857e+000
2.511886431509584e-003;2.790366e-003;1.110865e+000
2.630267991895387e-003;2.921894e-003;1.110873e+000
2.754228703338172e-003;3.059623e-003;1.110882e+000
2.884031503126612e-003;3.203845e-003;1.110891e+000
3.019951720402022e-003;3.354866e-003;1.110901e+000
3.162277660168386e-003;3.513008e-003;1.110911e+000
3.311311214825918e-003;3.678606e-003;1.110921e+000
3.467368504525324e-003;3.852012e-003;1.110932e+000
3.630780547701022e-003;4.033593e-003;1.110944e+000
3.801893963205621e-003;4.223736e-003;1.110956e+000
3.981071705534982e-003;4.422846e-003;1.110969e+000
4.168693834703364e-003;4.631343e-003;1.110982e+000
4.365158322401671e-003;4.849672e-003;1.110996e+000
4.570881896148762e-003;5.078297e-003;1.111010e+000
4.786300923226396e-003;5.317702e-003;1.111026e+000
5.011872336272736e-003;5.568398e-003;1.111042e+000
5.248074602497740e-003;5.830917e-003;1.111058e+000
5.495408738576261e-003;6.105815e-003;1.111076e+000
5.754399373371586e-003;6.393679e-003;1.111094e+000
6.025595860743595e-003;6.695119e-003;1.111113e+000
6.309573444801952e-003;7.010777e-003;1.111133e+000
6.606934480075981e-003;7.341324e-003;1.111154e+000
6.918309709189387e-003;7.687462e-003;1.111176e+000
7.244359600749924e-003;8.049929e-003;1.111199e+000
7.585775750291863e-003;8.429493e-003;1.111224e+000
7.943282347242842e-003;8.826964e-003;1.111249e+000
8.317637711026739e-003;9.243186e-003;1.111275e+000
8.709635899560838e-003;9.679046e-003;1.111303e+000
9.120108393559132e-003;1.013547e-002;1.111332e+000
9.549925860214395e-003;1.061343e-002;1.111363e+000
1.000000000000004e-002;1.111394e-002;1.111394e+000
1.047128548050904e-002;1.163808e-002;1.111428e+000
1.096478196143189e-002;1.218695e-002;1.111463e+000
1.148153621496888e-002;1.276172e-002;1.111499e+000
1.202264434617418e-002;1.336362e-002;1.111538e+000
1.258925411794173e-002;1.399393e-002;1.111578e+000
1.318256738556413e-002;1.465400e-002;1.111620e+000
1.380384264602891e-002;1.534523e-002;1.111664e+000
1.445439770745934e-002;1.606910e-002;1.111710e+000
1.513561248436215e-002;1.682714e-002;1.111758e+000
1.584893192461121e-002;1.762098e-002;1.111809e+000
1.659586907437569e-002;1.845231e-002;1.111861e+000
1.737800828749384e-002;1.932290e-002;1.111917e+000
1.819700858609992e-002;2.023462e-002;1.111975e+000
1.905460717963257e-002;2.118940e-002;1.112036e+000
1.995262314968890e-002;2.218930e-002;1.112099e+000
2.089296130854050e-002;2.323644e-002;1.112166e+000
2.187761623949564e-002;2.433307e-002;1.112236e+000
2.290867652767785e-002;2.548152e-002;1.112309e+000
2.398832919019503e-002;2.668427e-002;1.112385e+000
2.511886431509593e-002;2.794387e-002;1.112466e+000
2.630267991895396e-002;2.926303e-002;1.112550e+000
2.754228703338181e-002;3.064458e-002;1.112638e+000
2.884031503126622e-002;3.209147e-002;1.112730e+000
3.019951720402033e-002;3.360681e-002;1.112826e+000
3.162277660168397e-002;3.519384e-002;1.112927e+000
3.311311214825930e-002;3.685598e-002;1.113033e+000
3.467368504525337e-002;3.859679e-002;1.113144e+000
3.630780547701035e-002;4.042001e-002;1.113260e+000
3.801893963205635e-002;4.232957e-002;1.113381e+000
3.981071705534996e-002;4.432957e-002;1.113508e+000
4.168693834703379e-002;4.642431e-002;1.113642e+000
4.365158322401686e-002;4.861857e-002;1.113787e+000
4.570881896148778e-002;5.091632e-002;1.113928e+000
4.786300923226413e-002;5.332326e-002;1.114081e+000
5.011872336272754e-002;5.584435e-002;1.114241e+000
5.248074602497759e-002;5.848503e-002;1.114409e+000
5.495408738576281e-002;6.125102e-002;1.114585e+000
5.754399373371607e-002;6.414831e-002;1.114770e+000
6.025595860743617e-002;6.718316e-002;1.114963e+000
6.309573444801975e-002;7.036217e-002;1.115165e+000
6.606934480076004e-002;7.369224e-002;1.115377e+000
6.918309709189412e-002;7.718061e-002;1.115599e+000
7.244359600749950e-002;8.083487e-002;1.115832e+000
7.585775750291890e-002;8.466298e-002;1.116075e+000
7.943282347242871e-002;8.867329e-002;1.116331e+000
8.317637711026769e-002;9.287458e-002;1.116598e+000
8.709635899560869e-002;9.727602e-002;1.116878e+000
9.120108393559163e-002;1.018873e-001;1.117172e+000
9.549925860214430e-002;1.067184e-001;1.117479e+000
1.000000000000007e-001;1.117801e-001;1.117801e+000
1.047128548050907e-001;1.170835e-001;1.118139e+000
1.096478196143193e-001;1.226403e-001;1.118492e+000
1.148153621496891e-001;1.284627e-001;1.118863e+000
1.202264434617422e-001;1.345636e-001;1.119251e+000
1.258925411794177e-001;1.409566e-001;1.119658e+000
1.318256738556417e-001;1.476559e-001;1.120084e+000
1.380384264602896e-001;1.546764e-001;1.120531e+000
1.445439770745939e-001;1.620337e-001;1.120999e+000
1.513561248436220e-001;1.697444e-001;1.121490e+000
1.584893192461126e-001;1.778257e-001;1.122005e+000
1.659586907437574e-001;1.862959e-001;1.122543e+000
1.737800828749390e-001;1.951739e-001;1.123109e+000
1.819700858609998e-001;2.044799e-001;1.123701e+000
1.905460717963263e-001;2.142351e-001;1.124322e+000
1.995262314968896e-001;2.244615e-001;1.124972e+000
2.089296130854057e-001;2.351826e-001;1.125655e+000
2.187761623949571e-001;2.464229e-001;1.126370e+000
2.290867652767792e-001;2.582083e-001;1.127120e+000
2.398832919019511e-001;2.705659e-001;1.127906e+000
2.511886431509602e-001;2.835244e-001;1.128731e+000
2.630267991895405e-001;2.971140e-001;1.129596e+000
2.754228703338191e-001;3.113663e-001;1.130503e+000
2.884031503126632e-001;3.263149e-001;1.131454e+000
3.019951720402043e-001;3.419950e-001;1.132452e+000
3.162277660168408e-001;3.584437e-001;1.133499e+000
3.311311214825941e-001;3.757003e-001;1.134597e+000
3.467368504525348e-001;3.938060e-001;1.135749e+000
3.630780547701047e-001;4.128045e-001;1.136958e+000
3.801893963205647e-001;4.327417e-001;1.138227e+000
3.981071705535009e-001;4.536662e-001;1.139558e+000
4.168693834703393e-001;4.756294e-001;1.140956e+000
4.365158322401700e-001;4.986856e-001;1.142423e+000
4.570881896148794e-001;5.228920e-001;1.143963e+000
4.786300923226429e-001;5.483092e-001;1.145580e+000
5.011872336272771e-001;5.750014e-001;1.147279e+000
5.248074602497778e-001;6.030366e-001;1.149063e+000
5.495408738576300e-001;6.324866e-001;1.150936e+000
5.754399373371626e-001;6.634277e-001;1.152905e+000
6.025595860743637e-001;6.959405e-001;1.154974e+000
6.309573444801995e-001;7.301109e-001;1.157148e+000
6.606934480076026e-001;7.660299e-001;1.159433e+000
6.918309709189434e-001;8.037940e-001;1.161836e+000
7.244359600749973e-001;8.435060e-001;1.164362e+000
7.585775750291914e-001;8.852751e-001;1.167020e+000
7.943282347242896e-001;9.292174e-001;1.169815e+000
8.317637711026795e-001;9.754568e-001;1.172757e+000
8.709635899560896e-001;1.024125e+000;1.175853e+000
9.120108393559192e-001;1.075364e+000;1.179113e+000
9.549925860214459e-001;1.129322e+000;1.182545e+000
1.000000000000010e+000;1.186161e+000;1.186161e+000
1.047128548050911e+000;1.246052e+000;1.189971e+000
1.096478196143197e+000;1.309180e+000;1.193986e+000
1.148153621496895e+000;1.375740e+000;1.198220e+000
1.202264434617426e+000;1.445946e+000;1.202685e+000
1.258925411794181e+000;1.520022e+000;1.207397e+000
1.318256738556421e+000;1.598214e+000;1.212370e+000
1.380384264602900e+000;1.680785e+000;1.217621e+000
1.445439770745943e+000;1.768016e+000;1.223168e+000
1.513561248436225e+000;1.860214e+000;1.229031e+000
1.584893192461131e+000;1.957709e+000;1.235231e+000
1.659586907437579e+000;2.060858e+000;1.241790e+000
1.737800828749395e+000;2.170048e+000;1.248732e+000
1.819700858610004e+000;2.285700e+000;1.256085e+000
1.905460717963269e+000;2.408269e+000;1.263878e+000
1.995262314968903e+000;2.538255e+000;1.272141e+000
2.089296130854064e+000;2.676199e+000;1.280910e+000
2.187761623949578e+000;2.822696e+000;1.290221e+000
2.290867652767800e+000;2.978395e+000;1.300117e+000
2.398832919019519e+000;3.144011e+000;1.310642e+000
2.511886431509610e+000;3.320326e+000;1.321846e+000
2.630267991895413e+000;3.508207e+000;1.333783e+000
2.754228703338200e+000;3.708611e+000;1.346515e+000
2.884031503126641e+000;3.922595e+000;1.360108e+000
3.019951720402053e+000;4.151339e+000;1.374637e+000
3.162277660168418e+000;4.396147e+000;1.390184e+000
3.311311214825952e+000;4.658491e+000;1.406842e+000
3.467368504525360e+000;4.940009e+000;1.424714e+000
3.630780547701059e+000;5.242547e+000;1.443917e+000
3.801893963205660e+000;5.568188e+000;1.464583e+000
3.981071705535023e+000;5.919292e+000;1.486859e+000
4.168693834703407e+000;6.298542e+000;1.510915e+000
4.365158322401715e+000;6.709000e+000;1.536943e+000
4.570881896148809e+000;7.154179e+000;1.565164e+000
4.786300923226444e+000;7.638130e+000;1.595832e+000
5.011872336272787e+000;8.165541e+000;1.629240e+000
5.248074602497794e+000;8.741873e+000;1.665729e+000
5.495408738576317e+000;9.373518e+000;1.705700e+000
5.754399373371644e+000;1.006801e+001;1.749620e+000
6.025595860743656e+000;1.083428e+001;1.798043e+000
6.309573444802015e+000;1.167198e+001;1.849885e+000
6.606934480076047e+000;1.185514e+001;1.794348e+000
6.918309709189456e+000;1.192918e+001;1.724291e+000
7.244359600749997e+000;1.198661e+001;1.654613e+000
7.585775750291939e+000;1.200333e+001;1.582347e+000
7.943282347242922e+000;1.200334e+001;1.511131e+000
8.317637711026823e+000;1.200335e+001;1.443120e+000
8.709635899560926e+000;1.200335e+001;1.378169e+000
9.120108393559223e+000;1.200335e+001;1.316141e+000
9.549925860214492e+000;1.200335e+001;1.256905e+000
1.000000000000014e+001;1.200335e+001;1.200335e+000
1.047128548050914e+001;1.200335e+001;1.146311e+000
1.096478196143201e+001;1.200335e+001;1.094719e+000
1.148153621496899e+001;1.200335e+001;1.045448e+000
1.202264434617430e+001;1.200335e+001;9.983953e-001
1.258925411794185e+001;1.200335e+001;9.534600e-001
1.318256738556426e+001;1.200335e+001;9.105473e-001
1.380384264602905e+001;1.200335e+001;8.695659e-001
1.445439770745949e+001;1.200335e+001;8.304290e-001
